╔═══════════════════════════════════════════════════════════════════╗
║  Aurora MySQL vs PostgreSQL — 30-Minute Stress Test             ║
║  Instance: db.r7g.4xlarge | 1 Writer + 2 Readers per engine    ║
║  Rates: 200 400 1000 MB/s | Duration: 240s per test         ║
║  Started: Thu Mar 12 04:12:45 UTC 2026                               ║
╚═══════════════════════════════════════════════════════════════════╝

Checking connectivity...
  PG Writer: OK
  PG Reader: OK
  MySQL Writer: OK
  MySQL Reader: OK

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  TESTING AT 200 MB/s
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

>>> postgresql @ 200 MB/s (240s)

[2026-03-12T04:12:45.755056] Starting postgresql benchmark at 200 MB/s with 16 workers for 240s
[PostgreSQL] Created benchmark_data on aurora-bench-pg.cluster-chmyywwu8h83.us-east-2.rds.amazonaws.com

==========================================================================================
  POSTGRESQL BENCHMARK  |  Target: 200 MB/s  |  Duration: 240s
==========================================================================================
  Time |  Instant MB/s |   Avg MB/s |     Rows/s |    Total Rows |  Total GB |  Errors
  122s |      123.5 MB/s |   102.4 MB/s |    110,000 |    11,135,000 |   12.20 GB |       0
  123s |       89.8 MB/s |   102.3 MB/s |     80,000 |    11,215,000 |   12.29 GB |       0
  124s |       95.4 MB/s |   102.3 MB/s |     85,000 |    11,300,000 |   12.39 GB |       0
  125s |       95.4 MB/s |   102.2 MB/s |     85,000 |    11,385,000 |   12.48 GB |       0
  126s |       84.2 MB/s |   102.1 MB/s |     75,000 |    11,460,000 |   12.56 GB |       0
  127s |      101.0 MB/s |   102.1 MB/s |     90,000 |    11,550,000 |   12.66 GB |       0
  128s |       78.6 MB/s |   101.9 MB/s |     70,000 |    11,620,000 |   12.74 GB |       0
  129s |      179.6 MB/s |   102.5 MB/s |    160,000 |    11,780,000 |   12.91 GB |       0
  130s |       89.8 MB/s |   102.4 MB/s |     80,000 |    11,860,000 |   13.00 GB |       0
  131s |       89.8 MB/s |   102.3 MB/s |     80,000 |    11,940,000 |   13.09 GB |       0
  132s |      106.6 MB/s |   102.3 MB/s |     95,000 |    12,035,000 |   13.19 GB |       0
  133s |       95.4 MB/s |   102.3 MB/s |     85,000 |    12,120,000 |   13.28 GB |       0
  134s |       89.8 MB/s |   102.2 MB/s |     80,000 |    12,200,000 |   13.37 GB |       0
  135s |       89.8 MB/s |   102.1 MB/s |     80,000 |    12,280,000 |   13.46 GB |       0
  136s |       89.8 MB/s |   102.0 MB/s |     80,000 |    12,360,000 |   13.55 GB |       0
  137s |      106.6 MB/s |   102.0 MB/s |     95,000 |    12,455,000 |   13.65 GB |       0
  138s |      162.7 MB/s |   102.5 MB/s |    145,000 |    12,600,000 |   13.81 GB |       0
  139s |       89.8 MB/s |   102.4 MB/s |     80,000 |    12,680,000 |   13.90 GB |       0
  140s |      117.8 MB/s |   102.5 MB/s |    105,000 |    12,785,000 |   14.01 GB |       0
  141s |       89.8 MB/s |   102.4 MB/s |     80,000 |    12,865,000 |   14.10 GB |       0
  142s |       89.8 MB/s |   102.3 MB/s |     80,000 |    12,945,000 |   14.19 GB |       0
  143s |       89.8 MB/s |   102.2 MB/s |     80,000 |    13,025,000 |   14.28 GB |       0
  144s |       89.8 MB/s |   102.1 MB/s |     80,000 |    13,105,000 |   14.36 GB |       0
  145s |      117.9 MB/s |   102.2 MB/s |    105,000 |    13,210,000 |   14.48 GB |       0
  146s |      123.5 MB/s |   102.4 MB/s |    110,000 |    13,320,000 |   14.60 GB |       0
